job,company,time,site,url
"FullStack (Python+JavaScript) Developer, Financial Software Solutions",DataArt,04-10-2020_12-12,https://rabota.ua,https://rabota.ua/company277662/vacancy8119684
Программист с опытом разработки на Gо или Java или Python удаленно.,Gran-Soft,04-10-2020_12-12,https://rabota.ua,https://rabota.ua/company696098/vacancy8104001
Data Scientist,Vodafone Україна,04-10-2020_12-12,https://rabota.ua,https://rabota.ua/company806/vacancy8061430
Jun/mid data scientist,Artellence,04-10-2020_12-12,https://rabota.ua,https://rabota.ua/company3308776/vacancy8165600
